ID,FPS,"LOOPTYPE (0: Single, 1: Loop, 2: PingPong)",,
Idle,10,1,,
,,,,
TEXTURE ID,LEFT,TOP,WIDTH,HEIGHT
graphics/ostrich/ostrich2.png,0,0,27,74
graphics/ostrich/ostrich2.png,0,0,27,74
graphics/ostrich/ostrich2.png,0,0,27,74
graphics/ostrich/ostrich2.png,0,0,27,74
graphics/ostrich/ostrich2.png,0,0,27,74
graphics/ostrich/ostrich2.png,0,0,27,74
graphics/ostrich/ostrich2.png,0,0,27,74
graphics/ostrich/ostrich1.png,0,0,27,74
graphics/ostrich/ostrich1.png,0,0,27,74
graphics/ostrich/ostrich1.png,0,0,27,74
graphics/ostrich/ostrich2.png,0,0,27,74
graphics/ostrich/ostrich2.png,0,0,27,74
graphics/ostrich/ostrich2.png,0,0,27,74
graphics/ostrich/ostrich2.png,0,0,27,74
graphics/ostrich/ostrich3.png,0,0,27,74
graphics/ostrich/ostrich4.png,0,0,27,74
graphics/ostrich/ostrich3.png,0,0,27,74
graphics/ostrich/ostrich2.png,0,0,27,74
graphics/ostrich/ostrich5.png,0,0,27,74
graphics/ostrich/ostrich6.png,0,0,27,74
graphics/ostrich/ostrich5.png,0,0,27,74
