ID,FPS,"LOOPTYPE (0: Single, 1: Loop, 2: PingPong)",,
Idle,10,1,,
,,,,
TEXTURE ID,LEFT,TOP,WIDTH,HEIGHT
graphics/boss/boss1.png,0,0,38,36
graphics/boss/boss1.png,0,0,38,36
graphics/boss/boss1.png,0,0,38,36
graphics/boss/boss7.png,0,0,38,37
graphics/boss/boss7.png,0,0,38,37
graphics/boss/boss1.png,0,0,38,36
graphics/boss/boss1.png,0,0,38,36
graphics/boss/boss1.png,0,0,38,36
graphics/boss/boss7.png,0,0,38,37
graphics/boss/boss7.png,0,0,38,37
graphics/boss/boss1.png,0,0,38,36
graphics/boss/boss2.png,0,0,39,36
graphics/boss/boss1.png,0,0,38,36
graphics/boss/boss2.png,0,0,39,36
graphics/boss/boss1.png,0,0,38,36
graphics/boss/boss2.png,0,0,39,36
graphics/boss/boss1.png,0,0,38,36
