ID,FPS,"LOOPTYPE (0: Single, 1: Loop, 2: PingPong)",,
Sliding,10,0,,
,,,,
TEXTURE ID,LEFT,TOP,WIDTH,HEIGHT
graphics/boss/boss4.png,0,0,46,37
graphics/boss/boss5.png,0,0,48,37
graphics/boss/boss5.png,0,0,48,37
graphics/boss/boss10.png,0,0,37,37
graphics/boss/boss10.png,0,0,37,37
graphics/boss/boss11.png,0,0,40,29
graphics/boss/boss11.png,0,0,40,29
graphics/boss/boss11.png,0,0,40,29
graphics/boss/boss11.png,0,0,40,29
graphics/boss/boss11.png,0,0,40,29
graphics/boss/boss11.png,0,0,40,29
graphics/boss/boss11.png,0,0,40,29
graphics/boss/boss11.png,0,0,40,29
graphics/boss/boss11.png,0,0,40,29
graphics/boss/boss11.png,0,0,40,29
graphics/boss/boss11.png,0,0,40,29
graphics/boss/boss11.png,0,0,40,29
graphics/boss/boss11.png,0,0,40,29
graphics/boss/boss11.png,0,0,40,29
