ID,FPS,"LOOPTYPE (0: Single, 1: Loop, 2: PingPong)",,
SnowRolling,10,0,,
,,,,
TEXTURE ID,LEFT,TOP,WIDTH,HEIGHT
graphics/snowthrower/snow.png,0,0,8,8
graphics/snowthrower/snow2.png,0,0,24,24
graphics/snowthrower/snow3.png,0,0,24,24
graphics/snowthrower/snow2.png,0,0,24,24
graphics/snowthrower/snow4.png,0,0,32,32
graphics/snowthrower/snow5.png,0,0,32,32
graphics/snowthrower/snow6.png,0,0,40,40
graphics/snowthrower/snow7.png,0,0,40,40
graphics/snowthrower/snow6.png,0,0,40,40
graphics/snowthrower/snow7.png,0,0,40,40
graphics/snowthrower/snow6.png,0,0,40,40
graphics/snowthrower/snow7.png,0,0,40,40
graphics/snowthrower/snow6.png,0,0,40,40
graphics/snowthrower/snow7.png,0,0,40,40
graphics/snowthrower/snow6.png,0,0,40,40
graphics/snowthrower/snow7.png,0,0,40,40
graphics/snowthrower/snow6.png,0,0,40,40
graphics/snowthrower/snow7.png,0,0,40,40
graphics/snowthrower/snow6.png,0,0,40,40
graphics/snowthrower/snow7.png,0,0,40,40
graphics/snowthrower/snow6.png,0,0,40,40
graphics/snowthrower/snow7.png,0,0,40,40
graphics/snowthrower/snow6.png,0,0,40,40
graphics/snowthrower/snow7.png,0,0,40,40
graphics/snowthrower/snow6.png,0,0,40,40
graphics/snowthrower/snow7.png,0,0,40,40
graphics/snowthrower/snow6.png,0,0,40,40
graphics/snowthrower/snow7.png,0,0,40,40
graphics/snowthrower/snow6.png,0,0,40,40
graphics/snowthrower/snow7.png,0,0,40,40
graphics/snowthrower/snow6.png,0,0,40,40
graphics/snowthrower/snow7.png,0,0,40,40
graphics/snowthrower/snow6.png,0,0,40,40
graphics/snowthrower/snow7.png,0,0,40,40
graphics/snowthrower/snow6.png,0,0,40,40
graphics/snowthrower/snow7.png,0,0,40,40
graphics/snowthrower/snow6.png,0,0,40,40
graphics/snowthrower/snow7.png,0,0,40,40
