ID,FPS,"LOOPTYPE (0: Single, 1: Loop, 2: PingPong)",,
Idle,10,1,,
,,,,
TEXTURE ID,LEFT,TOP,WIDTH,HEIGHT
graphics/xsheet.png,320,0,35,51
graphics/xsheet.png,320,0,35,51
graphics/xsheet.png,320,0,35,51
graphics/xsheet.png,320,0,35,51
graphics/xsheet.png,320,0,35,51
graphics/xsheet.png,320,0,35,51
graphics/xsheet.png,320,0,35,51
graphics/xsheet.png,320,0,35,51
graphics/xsheet.png,320,0,35,51
graphics/xsheet.png,320,0,35,51
graphics/xsheet.png,354,0,35,51
graphics/xsheet.png,388,0,35,51
graphics/xsheet.png,354,0,35,51
